ticker,earnings_date,fiscalDateEnding,reportedEPS,estimatedEPS,surprise,surprisePercentage
GOOGL,2025-10-29,2025-09-30,2.87,2.32,0.55,23.7069
GOOGL,2025-07-23,2025-06-30,2.31,2.19,0.12,5.4795
GOOGL,2025-04-24,2025-03-31,2.81,2.01,0.8,39.801
GOOGL,2025-02-04,2024-12-31,2.15,2.13,0.02,0.939
GOOGL,2024-10-29,2024-09-30,2.12,1.85,0.27,14.5946
GOOGL,2024-07-23,2024-06-30,1.89,1.85,0.04,2.1622
GOOGL,2024-04-25,2024-03-31,1.89,1.51,0.38,25.1656
GOOGL,2024-01-30,2023-12-31,1.64,1.6,0.04,2.5
GOOGL,2023-10-24,2023-09-30,1.55,1.45,0.1,6.8966
GOOGL,2023-07-25,2023-06-30,1.44,1.34,0.1,7.4627
GOOGL,2023-04-25,2023-03-31,1.17,1.07,0.1,9.3458
GOOGL,2023-02-02,2022-12-31,1.05,1.19,-0.14,-11.7647
GOOGL,2022-10-25,2022-09-30,1.06,1.25,-0.19,-15.2
GOOGL,2022-07-26,2022-06-30,1.21,1.27,-0.06,-4.7244
GOOGL,2022-04-26,2022-03-31,1.23,1.29,-0.06,-4.6512
GOOGL,2022-02-01,2021-12-31,1.53,1.36,0.17,12.5
GOOGL,2021-10-26,2021-09-30,1.4,1.17,0.23,19.6581
GOOGL,2021-07-27,2021-06-30,1.36,0.96,0.4,41.6667
GOOGL,2021-04-27,2021-03-31,1.31,0.78,0.53,67.9487
GOOGL,2021-02-02,2020-12-31,1.12,0.79,0.33,41.7722
GOOGL,2020-10-29,2020-09-30,0.82,0.56,0.26,46.4286
GOOGL,2020-07-30,2020-06-30,0.51,0.41,0.1,24.3902
GOOGL,2020-04-28,2020-03-31,0.49,0.51,-0.02,-3.9216
GOOGL,2020-02-03,2019-12-31,0.7675,0.6265,0.141,22.506
GOOGL,2019-10-28,2019-09-30,0.506,0.621,-0.115,-18.5185
GOOGL,2019-07-25,2019-06-30,0.7105,0.565,0.1455,25.7522
GOOGL,2019-04-29,2019-03-31,0.475,0.5305,-0.0555,-10.4618
GOOGL,2019-02-04,2018-12-31,0.6385,0.541,0.0975,18.0222
GOOG,2025-10-28,2025-09-30,3.0917,2.33,0.7617,32.691
GOOG,2025-07-23,2025-06-30,2.31,2.2,0.11,5
GOOG,2025-04-24,2025-03-31,2.81,2.01,0.8,39.801
GOOG,2025-02-04,2024-12-31,2.15,2.11,0.04,1.8957
GOOG,2024-10-28,2024-09-30,2.12,1.85,0.27,14.5946
GOOG,2024-07-22,2024-06-30,1.89,1.84,0.05,2.7174
GOOG,2024-04-24,2024-03-31,1.89,1.51,0.38,25.1656
GOOG,2024-01-29,2023-12-31,1.64,1.59,0.05,3.1447
GOOG,2023-10-23,2023-09-30,1.55,1.45,0.1,6.8966
GOOG,2023-07-24,2023-06-30,1.44,1.34,0.1,7.4627
GOOG,2023-04-24,2023-03-31,1.17,1.06,0.11,10.3774
GOOG,2023-02-01,2022-12-31,1.05,1.19,-0.14,-11.7647
GOOG,2022-10-24,2022-09-30,1.06,1.25,-0.19,-15.2
